no,component-name,component-symbol,state,dHf25,dG25,source
-,-,-,-,kJ/mol,kJ/mol,-
112,Sulfuric-acid,H2SO4,g,-735.13,-653.37,2
113,Ammonia,NH3,g,-46.11,-16.45,2
114,Nitrous-oxide,N2O,g,82.05,104.17,2
115,Nitric-oxide,NO,g,90.29,86.6,2
116,Nitrogen-dioxide,NO2,g,33.1,51.26,2
117,Dinitrogen-tetraoxide,N2O4,l,-19.564,97.51,2
118,Dinitrogen-tetraoxide,N2O4,g,9.079,97.79,2
119,Sodium-chloride,NaCl,s,-411.12,-384.02,2
120,Sodium-fluoride,NaF,s,-573.48,-545.08,2
121,Sodium-hydroxide,NaOH,s,-425.93,-379.73,2
122,Sodium-hydroxide,NaOH,g,-197.49,-200.19,2
123,Oxygen,O,g,249.17,231.74,2
124,Phosphene,PH3,g,5.57,13.59,2
125,Tantalum-nitride,TaN,s,-252.3,-226.58,2
126,Titanium-carbide,TiC,s,-184.5,-180.84,2
127,Titanium-nitride,TiN,s,-337.86,-309.16,2
128,Silicon-carbide,SiC,s,-73.22,-70.85,2
129,Dichlorosilylene,SiCl2,g,-168.61,-180.36,2
130,Silicon-tetrachloride,SiCl4,g,-662.75,-622.76,2
131,Silicon-tetrafluoride,SiF4,g,-1614.94,-1572.7,2
132,Trichlorosilane,SiCl3H,g,-496.22,-464.9,3
133,Dichlorosilane,SiCl2H2,g,-320.49,-294.9,3
134,Chlorosilane,SiH3Cl,g,-141.838,-119.29,3
135,Silane,SiH4,g,34.31,56.82,2
136,Silicon-nitride,Si3N4,s,-744.75,-647.34,2
137,"Silicon-dioxide,trigonal",SiO2,s,-910.86,-856.44,2
138,"Silicon-dioxide,hexagonal",SiO2,s,-906.34,-757.11,2
139,"Silicon-dioxide,cristobalite",SiO2,s,-902.53,-716.46,2
140,Silicon-dioxide,SiO2,l,-935.34,-551.67,2
141,Sulfur-hexafluoride,SF6,g,-1220.47,-1116.5,2
142,Sulfur-dioxide,SO2,g,-296.813,-300.1,2
143,Sulfur-trioxide,SO3,g,-395.77,-371.02,2
144,Tungsten-hexafluoride,WF6,g,-1721.72,-1632.29,2
145,Zinc-oxide,ZnO,s,-350.46,-320.48,2
146,"Zinc-sulfide,wurtzite",ZnS,s,-191.84,-190.14,2
147,"Zinc-sulfide,sphalerite",ZnS,s,-205.18,-200.4,2
148,Zinc-sulfate,ZnSO4,s,-982.8,-871.45,2
