component-symbol component-name phase dHf25 dG25 source
- - - kJ/mol kJ/mol -
SiF4 Silicon-tetrafluoride G -1614.94 -1572.7 2
SiCl3H Trichlorosilane G -496.22 -464.9 3
SiCl2H2 Dichlorosilane G -320.49 -294.9 3
SiH3Cl Chlorosilane G -141.838 -119.29 3
SiH4 Silane G 34.31 56.82 2
Si3N4 Silicon-nitride S -744.75 -647.34 2
SiO2 Silicon-dioxide,trigonal S -910.86 -856.44 2
SiO2 Silicon-dioxide,hexagonal S -906.34 -757.11 2
SiO2 Silicon-dioxide,cristobalite S -902.53 -716.46 2
SiO2 Silicon-dioxide L -935.34 -551.67 2
SF6 Sulfur-hexafluoride G -1220.47 -1116.5 2
SO2 Sulfur-dioxide G -296.813 -300.1 2
SO3 Sulfur-trioxide G -395.77 -371.02 2
WF6 Tungsten-hexafluoride G -1721.72 -1632.29 2
ZnO Zinc-oxide S -350.46 -320.48 2
ZnS Zinc-sulfide,wurtzite S -191.84 -190.14 2
ZnS Zinc-sulfide,sphalerite S -205.18 -200.4 2
ZnSO4 Zinc-sulfate S -982.8 -871.45 2
