no,T,P,x1,y1
-,K,Pa,-,-
1,323.15,50690,0,0
2,323.15,52370,0.0316,0.0592
3,323.15,53950,0.1067,0.1597
4,323.15,55830,0.1899,0.2426
5,323.15,56730,0.3393,0.299
6,323.15,56100,0.4303,0.3317
7,323.15,53750,0.6225,0.403
8,323.15,52740,0.6649,0.4334
9,323.15,50520,0.7352,0.4902
10,323.15,47490,0.8124,0.5284
11,323.15,45520,0.8525,0.6058
12,323.15,41410,0.9091,0.6677
13,323.15,36750,0.9542,0.7751
14,323.15,32490,0.982,0.8956
15,323.15,29340,1,1
